"Which colonies were considered the Southern Colonies?","Virginia, North Carolina, South Carolina, and Georgia (sometimes Maryland)"
"Why were the Southern Colonies founded?","For economic reasons"
"What was the economic status and ethnic background of the English Cavaliers?","Economic status: Wealthy landowning nobility, Ethnic background: English"
"Where did the English Cavaliers settle?","Coastal lowlands in the east with the best land for large plantation farming"
"What was the economic status and ethnic background of the Frontier Settlers?","Economic status: Poor former indentured servants, Ethnic background: Scotch-Irish and poor English"
"Where did the Frontier Settlers settle?","Small subsistence farms in the west near the Appalachians"
"Who led the Jamestown Colony?","John Smith"
"Who originally founded the Jamestown Colony?","The Virginia Company, a British joint-stock corporation"
"What was the economic venture that Jamestown was established as?","A royal colony controlled by the British Crown"
"What crop was introduced to Jamestown by John Rolfe?","Tobacco"
"What were some of the problems faced in Jamestown?","Everyone focused on gold and profit, disease from bad water, starvation due to lack of crops, tense relations with the Powhatan Indians, and the 'Starving Time' in the winter of 1609-1610"
"What was the first elected colonial legislature in the Americas?","The Virginia House of Burgesses"
"What European country raised natives into social and political life?","The Spanish"
"What did the Spanish bring from Spain to the natives?","Useful and necessary things"
"What European country excelled in industry, economy, and the arts of conciliating the affections of the Indians?","The French"
"What did the French manage in regards to trade and commerce with Indians?","Trade and commerce"
"What European country planned to change the natives' barbarous nature?","The English"
"What were the English settlers claiming was allowed against all enemies?","Stratagems"
"What was the cause of the settlers' clash with Native Americans?","Colonists wanted more land for tobacco and Native Americans resisted"
"What major trade port was in the South?","Charleston, SC"
"What were the major cash crops in the South?","Tobacco, Rice, and Indigo"
"Who made up the labor force in the South?","Indentured servants and later slaves"
"What was the ethnic makeup of the indentured servants?","Poor English, Scotch-Irish, and African"
"Where did African slaves come from and when did they arrive?","Africa via the middle passage in the 17th century"
"What was the system of labor for African slaves?","Slavery for life"
"What were the economic impacts of the slave trade?","Disease killed native populations, making them an unstable workforce, African slavery became an alternative for labor, demand for slaves grew quickly, and the Trans-Atlantic slave trade grew quickly, becoming a key part of the new American economic system"
"What were the causes of Bacon's Rebellion?","Poor whites revolted against VA gov't, resented lack of protection from Native Americans, and resented lack of representation in the House of Burgesses"
"What social structure dominated the Southern Colonies?","Family status and land ownership"
"Who controlled the government in the Southern Colonies?","Aristocracy (wealthy elites)"
"What was the dominant religious affiliation in the Southern Colonies?","Anglican (Church of England)"
